ticket_id,user,department,issue_type,priority,status,assigned_to,created_at,resolved_at,resolution_time_hours,resolution_description
TKT001,User1,HR,Login Failure,Medium,Resolved,Tech001,2025-01-21 19:39:00,2025-01-22 17:39:00,22,Reset user credentials and verified account permissions.
,,,,,,,,,,
,,,,,,,,,,
TKT004,User4,HR,Slow Performance,High,Resolved,Tech007,2025-01-13 02:56:00,2025-01-13 15:56:00,13,Reinstalled the application and cleared cache.
TKT005,User5,Finance,Integration Failure,High,Resolved,Tech005,2025-02-17 16:17:00,2025-02-18 15:17:00,23,Renewed software license and reactivated the key.
TKT006,User6,Finance,Integration Failure,Critical,Resolved,Tech007,2025-02-23 12:48:00,2025-02-23 17:48:00,5,Optimized application settings and increased resource allocation.
TKT007,User7,IT,Feature Not Working,High,Resolved,Tech007,2025-02-24 03:10:00,2025-02-26 07:10:00,52,Ran installation with admin rights and resolved dependencies.
TKT008,User8,Sales,Login Failure,Critical,Resolved,Tech007,2025-02-02 13:45:00,2025-02-04 11:45:00,46,Resynced data with the server and resolved conflicts.
,,,,,,,,,,
,,,,,,,,,,
TKT011,User11,HR,License Expired,Critical,Resolved,Tech004,2025-01-13 12:26:00,2025-01-16 02:26:00,62,Rolled back the update and reported the bug to developers.
TKT012,User12,Support,Configuration Error,High,Resolved,Tech005,2025-01-20 19:54:00,2025-01-22 12:54:00,41,Reinstalled the application and cleared cache.
TKT013,User13,Operations,Slow Performance,Low,Resolved,Tech002,2025-02-15 22:52:00,2025-02-16 12:52:00,14,Renewed software license and reactivated the key.
,,,,,,,,,,
,,,,,,,,,,
TKT016,User16,IT,Feature Not Working,Medium,Resolved,Tech002,2025-02-14 20:41:00,2025-02-16 14:41:00,42,Checked API logs and fixed integration settings.
TKT017,User17,IT,Software Update Issue,Low,Resolved,Tech007,2025-01-17 12:40:00,2025-01-17 22:40:00,10,Debugged feature issue and applied a patch.
TKT018,User18,Support,License Expired,Medium,Resolved,Tech002,2025-01-03 04:18:00,2025-01-03 20:18:00,16,Reset user credentials and verified account permissions.
,,,,,,,,,,
TKT020,User20,HR,License Expired,High,Resolved,Tech005,2025-01-17 07:22:00,2025-01-18 05:22:00,22,Debugged feature issue and applied a patch.
TKT021,User21,HR,Data Sync Issue,Critical,Resolved,Tech003,2025-01-10 20:15:00,2025-01-11 05:15:00,9,Resynced data with the server and resolved conflicts.
,,,,,,,,,,
TKT023,User23,Operations,Integration Failure,Medium,Resolved,Tech007,2025-02-12 00:37:00,2025-02-14 04:37:00,52,Renewed software license and reactivated the key.
,,,,,,,,,,
,,,,,,,,,,
TKT026,User26,HR,Feature Not Working,Low,Resolved,Tech007,2025-01-12 06:27:00,2025-01-13 09:27:00,27,Debugged feature issue and applied a patch.
,,,,,,,,,,
TKT028,User28,IT,Installation Failure,Low,Resolved,Tech001,2025-01-04 02:05:00,2025-01-06 08:05:00,54,Rolled back the update and reported the bug to developers.
TKT029,User29,IT,Installation Failure,Medium,Resolved,Tech006,2025-01-19 05:10:00,2025-01-19 16:10:00,11,Ran installation with admin rights and resolved dependencies.
,,,,,,,,,,
TKT031,User31,IT,Software Update Issue,Low,Resolved,Tech004,2025-01-30 08:24:00,2025-02-01 14:24:00,54,Debugged feature issue and applied a patch.
TKT032,User32,Support,Software Update Issue,Critical,Resolved,Tech002,2025-02-08 11:01:00,2025-02-10 12:01:00,49,Ran installation with admin rights and resolved dependencies.
TKT033,User33,Marketing,Installation Failure,Critical,Resolved,Tech002,2025-02-20 17:27:00,2025-02-21 13:27:00,20,Optimized application settings and increased resource allocation.
,,,,,,,,,,
TKT035,User35,Marketing,Login Failure,High,Resolved,Tech004,2025-02-22 12:54:00,2025-02-23 00:54:00,12,Reinstalled the application and cleared cache.
,,,,,,,,,,
,,,,,,,,,,
